model_number,model_type,model_params,all_validation_scores,mean_validation_score,all_test_scores,mean_test_score
10,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 16}","[0.85, 0.78, 0.73, 0.75, 0.72, 0.75, 0.73, 0.73, 0.75, 0.73, 0.72, 0.78, 0.77, 0.77, 0.77, 0.78, 0.77, 0.83, 0.78, 0.77]",0.763,"[0.733, 0.75, 0.717, 0.7, 0.783, 0.767, 0.717, 0.833, 0.75, 0.7, 0.683, 0.7, 0.833, 0.683, 0.717, 0.767, 0.717, 0.717, 0.867, 0.717, 0.767, 0.783, 0.717, 0.783, 0.717, 0.8, 0.667, 0.767, 0.733, 0.75, 0.783, 0.783, 0.733, 0.717, 0.667, 0.783, 0.767, 0.75, 0.667, 0.7, 0.8, 0.683, 0.85, 0.733, 0.733, 0.767, 0.783, 0.833, 0.783, 0.8, 0.767, 0.783, 0.8, 0.833, 0.85, 0.8, 0.7, 0.817, 0.783, 0.7, 0.767, 0.85, 0.717, 0.85, 0.817, 0.717, 0.817, 0.767, 0.783, 0.8, 0.8, 0.817, 0.75, 0.7, 0.65, 0.65, 0.767, 0.783, 0.733, 0.733, 0.7, 0.867, 0.717, 0.733, 0.8, 0.883, 0.85, 0.717, 0.767, 0.717, 0.7, 0.767, 0.75, 0.733, 0.75, 0.8, 0.75, 0.667, 0.7, 0.817]",0.757
11,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 18}","[0.82, 0.8, 0.73, 0.78, 0.73, 0.78, 0.7, 0.77, 0.75, 0.72, 0.72, 0.8, 0.77, 0.77, 0.75, 0.78, 0.77, 0.8, 0.77, 0.75]",0.763,"[0.767, 0.75, 0.7, 0.683, 0.8, 0.767, 0.7, 0.817, 0.733, 0.733, 0.717, 0.75, 0.85, 0.717, 0.767, 0.817, 0.717, 0.717, 0.867, 0.717, 0.767, 0.783, 0.717, 0.767, 0.733, 0.783, 0.65, 0.75, 0.683, 0.733, 0.817, 0.783, 0.733, 0.7, 0.683, 0.783, 0.783, 0.767, 0.7, 0.733, 0.783, 0.667, 0.867, 0.733, 0.75, 0.783, 0.783, 0.817, 0.783, 0.8, 0.767, 0.817, 0.783, 0.783, 0.833, 0.8, 0.717, 0.783, 0.817, 0.717, 0.717, 0.85, 0.717, 0.817, 0.8, 0.733, 0.8, 0.767, 0.783, 0.8, 0.817, 0.833, 0.75, 0.683, 0.633, 0.667, 0.8, 0.783, 0.733, 0.7, 0.7, 0.817, 0.75, 0.733, 0.767, 0.867, 0.833, 0.733, 0.75, 0.717, 0.733, 0.75, 0.733, 0.733, 0.717, 0.817, 0.7, 0.65, 0.683, 0.783]",0.757
12,random_forest,"{'n_estimators': 220, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 18}","[0.82, 0.8, 0.73, 0.75, 0.73, 0.77, 0.72, 0.77, 0.75, 0.72, 0.72, 0.78, 0.75, 0.77, 0.78, 0.78, 0.77, 0.8, 0.78, 0.77]",0.763,"[0.75, 0.75, 0.717, 0.7, 0.8, 0.767, 0.683, 0.817, 0.717, 0.667, 0.65, 0.733, 0.833, 0.7, 0.733, 0.817, 0.717, 0.667, 0.867, 0.717, 0.733, 0.783, 0.7, 0.767, 0.717, 0.783, 0.667, 0.733, 0.7, 0.717, 0.767, 0.767, 0.75, 0.683, 0.667, 0.783, 0.8, 0.733, 0.683, 0.7, 0.783, 0.7, 0.867, 0.733, 0.767, 0.767, 0.767, 0.817, 0.75, 0.783, 0.767, 0.783, 0.8, 0.85, 0.817, 0.8, 0.7, 0.783, 0.817, 0.7, 0.733, 0.85, 0.75, 0.867, 0.8, 0.717, 0.8, 0.767, 0.783, 0.8, 0.8, 0.833, 0.767, 0.667, 0.667, 0.667, 0.783, 0.8, 0.7, 0.717, 0.7, 0.867, 0.733, 0.733, 0.767, 0.85, 0.833, 0.717, 0.767, 0.7, 0.7, 0.733, 0.75, 0.733, 0.717, 0.8, 0.717, 0.667, 0.7, 0.8]",0.752
13,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 20}","[0.82, 0.78, 0.73, 0.75, 0.72, 0.78, 0.77, 0.77, 0.75, 0.72, 0.72, 0.78, 0.77, 0.78, 0.77, 0.8, 0.77, 0.77, 0.78, 0.73]",0.763,"[0.717, 0.75, 0.717, 0.7, 0.783, 0.767, 0.7, 0.8, 0.717, 0.7, 0.683, 0.7, 0.85, 0.7, 0.717, 0.8, 0.683, 0.683, 0.883, 0.717, 0.733, 0.8, 0.717, 0.75, 0.717, 0.783, 0.667, 0.767, 0.7, 0.733, 0.783, 0.767, 0.717, 0.7, 0.683, 0.817, 0.783, 0.767, 0.667, 0.7, 0.767, 0.667, 0.867, 0.733, 0.767, 0.767, 0.767, 0.833, 0.767, 0.817, 0.767, 0.8, 0.817, 0.833, 0.833, 0.8, 0.717, 0.8, 0.783, 0.717, 0.75, 0.833, 0.7, 0.833, 0.8, 0.733, 0.8, 0.75, 0.767, 0.783, 0.8, 0.833, 0.75, 0.683, 0.667, 0.633, 0.783, 0.783, 0.7, 0.667, 0.717, 0.833, 0.75, 0.717, 0.783, 0.85, 0.85, 0.733, 0.767, 0.717, 0.7, 0.75, 0.767, 0.717, 0.7, 0.817, 0.717, 0.65, 0.717, 0.8]",0.752
14,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 17}","[0.85, 0.78, 0.73, 0.75, 0.72, 0.77, 0.73, 0.73, 0.75, 0.73, 0.72, 0.78, 0.75, 0.78, 0.78, 0.77, 0.77, 0.83, 0.75, 0.78]",0.762,"[0.767, 0.75, 0.717, 0.7, 0.767, 0.767, 0.683, 0.8, 0.733, 0.717, 0.667, 0.75, 0.817, 0.7, 0.717, 0.817, 0.717, 0.717, 0.883, 0.717, 0.717, 0.783, 0.7, 0.75, 0.733, 0.8, 0.667, 0.75, 0.7, 0.717, 0.733, 0.767, 0.717, 0.733, 0.683, 0.817, 0.767, 0.767, 0.683, 0.7, 0.767, 0.667, 0.867, 0.75, 0.75, 0.783, 0.783, 0.833, 0.783, 0.767, 0.783, 0.783, 0.8, 0.833, 0.817, 0.8, 0.683, 0.8, 0.783, 0.683, 0.733, 0.85, 0.717, 0.833, 0.8, 0.683, 0.8, 0.75, 0.783, 0.783, 0.817, 0.85, 0.75, 0.683, 0.667, 0.65, 0.783, 0.767, 0.733, 0.667, 0.7, 0.867, 0.717, 0.7, 0.767, 0.85, 0.833, 0.733, 0.767, 0.717, 0.717, 0.733, 0.75, 0.7, 0.717, 0.767, 0.75, 0.65, 0.7, 0.767]",0.751
15,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 17}","[0.83, 0.77, 0.73, 0.78, 0.75, 0.77, 0.7, 0.75, 0.73, 0.75, 0.7, 0.78, 0.77, 0.8, 0.77, 0.77, 0.77, 0.82, 0.78, 0.73]",0.762,"[0.767, 0.75, 0.717, 0.717, 0.8, 0.783, 0.7, 0.817, 0.75, 0.7, 0.683, 0.7, 0.85, 0.683, 0.717, 0.75, 0.733, 0.717, 0.867, 0.683, 0.75, 0.817, 0.717, 0.783, 0.733, 0.8, 0.667, 0.767, 0.7, 0.733, 0.8, 0.767, 0.717, 0.7, 0.683, 0.8, 0.75, 0.75, 0.683, 0.717, 0.783, 0.683, 0.85, 0.733, 0.75, 0.783, 0.783, 0.833, 0.733, 0.783, 0.767, 0.783, 0.817, 0.833, 0.833, 0.817, 0.733, 0.8, 0.8, 0.717, 0.767, 0.85, 0.733, 0.833, 0.8, 0.717, 0.8, 0.75, 0.783, 0.8, 0.8, 0.833, 0.75, 0.667, 0.65, 0.633, 0.817, 0.8, 0.717, 0.717, 0.683, 0.85, 0.733, 0.733, 0.783, 0.883, 0.867, 0.733, 0.75, 0.717, 0.733, 0.75, 0.767, 0.75, 0.75, 0.817, 0.733, 0.65, 0.683, 0.8]",0.757
16,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 19}","[0.85, 0.78, 0.73, 0.73, 0.73, 0.77, 0.72, 0.75, 0.75, 0.72, 0.72, 0.8, 0.78, 0.77, 0.75, 0.8, 0.77, 0.82, 0.78, 0.72]",0.762,"[0.767, 0.75, 0.733, 0.7, 0.8, 0.767, 0.683, 0.8, 0.733, 0.7, 0.717, 0.733, 0.85, 0.683, 0.717, 0.817, 0.7, 0.717, 0.883, 0.717, 0.717, 0.783, 0.7, 0.8, 0.733, 0.8, 0.683, 0.733, 0.683, 0.733, 0.767, 0.767, 0.717, 0.717, 0.7, 0.8, 0.783, 0.767, 0.667, 0.717, 0.767, 0.667, 0.867, 0.733, 0.75, 0.783, 0.783, 0.833, 0.717, 0.767, 0.767, 0.767, 0.8, 0.833, 0.833, 0.8, 0.667, 0.783, 0.767, 0.7, 0.75, 0.833, 0.717, 0.833, 0.817, 0.7, 0.8, 0.733, 0.783, 0.783, 0.8, 0.833, 0.767, 0.7, 0.667, 0.667, 0.767, 0.8, 0.717, 0.65, 0.7, 0.85, 0.733, 0.717, 0.783, 0.85, 0.833, 0.733, 0.767, 0.717, 0.7, 0.733, 0.75, 0.717, 0.717, 0.817, 0.75, 0.65, 0.7, 0.767]",0.752
17,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 20}","[0.85, 0.78, 0.73, 0.78, 0.75, 0.75, 0.72, 0.72, 0.75, 0.72, 0.73, 0.8, 0.77, 0.77, 0.73, 0.75, 0.77, 0.82, 0.8, 0.75]",0.762,"[0.767, 0.75, 0.7, 0.683, 0.75, 0.767, 0.683, 0.833, 0.717, 0.683, 0.683, 0.733, 0.833, 0.7, 0.75, 0.8, 0.683, 0.7, 0.867, 0.717, 0.75, 0.817, 0.717, 0.817, 0.717, 0.783, 0.683, 0.733, 0.717, 0.75, 0.8, 0.767, 0.733, 0.733, 0.667, 0.783, 0.783, 0.767, 0.683, 0.75, 0.767, 0.667, 0.867, 0.733, 0.733, 0.783, 0.783, 0.8, 0.767, 0.8, 0.783, 0.8, 0.8, 0.833, 0.833, 0.8, 0.7, 0.783, 0.817, 0.717, 0.75, 0.85, 0.7, 0.85, 0.8, 0.717, 0.8, 0.733, 0.767, 0.783, 0.8, 0.833, 0.733, 0.65, 0.65, 0.667, 0.783, 0.8, 0.717, 0.7, 0.7, 0.833, 0.733, 0.717, 0.767, 0.833, 0.867, 0.733, 0.783, 0.683, 0.717, 0.75, 0.733, 0.717, 0.683, 0.783, 0.717, 0.667, 0.683, 0.783]",0.753
18,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 16}","[0.83, 0.78, 0.73, 0.75, 0.73, 0.78, 0.73, 0.72, 0.75, 0.72, 0.7, 0.83, 0.75, 0.77, 0.75, 0.8, 0.77, 0.82, 0.78, 0.75]",0.762,"[0.733, 0.75, 0.717, 0.7, 0.783, 0.767, 0.683, 0.8, 0.733, 0.717, 0.683, 0.733, 0.833, 0.7, 0.717, 0.783, 0.7, 0.683, 0.867, 0.7, 0.75, 0.8, 0.717, 0.817, 0.733, 0.783, 0.65, 0.717, 0.65, 0.75, 0.783, 0.783, 0.733, 0.717, 0.683, 0.783, 0.8, 0.75, 0.683, 0.717, 0.783, 0.683, 0.867, 0.733, 0.733, 0.733, 0.783, 0.817, 0.717, 0.767, 0.783, 0.8, 0.8, 0.817, 0.867, 0.8, 0.7, 0.817, 0.767, 0.717, 0.767, 0.85, 0.7, 0.833, 0.817, 0.717, 0.8, 0.767, 0.783, 0.783, 0.8, 0.833, 0.75, 0.717, 0.65, 0.667, 0.75, 0.783, 0.717, 0.733, 0.733, 0.85, 0.7, 0.717, 0.767, 0.867, 0.85, 0.733, 0.783, 0.717, 0.7, 0.733, 0.75, 0.75, 0.733, 0.8, 0.733, 0.65, 0.7, 0.783]",0.753
19,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 16}","[0.83, 0.8, 0.73, 0.77, 0.7, 0.77, 0.7, 0.75, 0.73, 0.73, 0.72, 0.82, 0.77, 0.77, 0.75, 0.77, 0.77, 0.82, 0.77, 0.77]",0.762,"[0.767, 0.767, 0.717, 0.7, 0.783, 0.767, 0.7, 0.833, 0.717, 0.683, 0.683, 0.717, 0.85, 0.7, 0.717, 0.817, 0.733, 0.717, 0.867, 0.717, 0.75, 0.8, 0.717, 0.75, 0.733, 0.8, 0.65, 0.75, 0.683, 0.733, 0.833, 0.767, 0.717, 0.7, 0.683, 0.817, 0.783, 0.783, 0.717, 0.7, 0.8, 0.683, 0.867, 0.733, 0.717, 0.783, 0.783, 0.833, 0.783, 0.75, 0.8, 0.783, 0.817, 0.817, 0.833, 0.8, 0.7, 0.85, 0.783, 0.717, 0.733, 0.833, 0.733, 0.833, 0.8, 0.733, 0.8, 0.733, 0.783, 0.783, 0.817, 0.817, 0.733, 0.7, 0.633, 0.633, 0.783, 0.8, 0.733, 0.717, 0.717, 0.85, 0.75, 0.733, 0.767, 0.883, 0.833, 0.733, 0.767, 0.7, 0.7, 0.75, 0.733, 0.717, 0.75, 0.817, 0.75, 0.667, 0.7, 0.783]",0.757
20,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 19}","[0.82, 0.8, 0.73, 0.73, 0.75, 0.78, 0.72, 0.77, 0.75, 0.72, 0.7, 0.8, 0.77, 0.75, 0.78, 0.78, 0.77, 0.8, 0.77, 0.75]",0.762,"[0.75, 0.783, 0.717, 0.7, 0.783, 0.767, 0.717, 0.833, 0.717, 0.7, 0.7, 0.733, 0.85, 0.7, 0.733, 0.767, 0.667, 0.717, 0.867, 0.717, 0.767, 0.817, 0.717, 0.8, 0.717, 0.783, 0.65, 0.783, 0.7, 0.733, 0.783, 0.8, 0.717, 0.7, 0.7, 0.8, 0.767, 0.75, 0.717, 0.7, 0.783, 0.683, 0.867, 0.733, 0.767, 0.767, 0.783, 0.833, 0.75, 0.8, 0.75, 0.8, 0.817, 0.85, 0.833, 0.8, 0.717, 0.783, 0.8, 0.7, 0.75, 0.85, 0.733, 0.867, 0.8, 0.733, 0.783, 0.75, 0.8, 0.783, 0.8, 0.817, 0.767, 0.667, 0.633, 0.667, 0.783, 0.8, 0.733, 0.717, 0.717, 0.883, 0.75, 0.717, 0.783, 0.85, 0.85, 0.733, 0.767, 0.717, 0.717, 0.717, 0.767, 0.75, 0.717, 0.817, 0.75, 0.633, 0.7, 0.833]",0.758
21,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 19}","[0.82, 0.78, 0.73, 0.77, 0.72, 0.78, 0.72, 0.73, 0.73, 0.72, 0.73, 0.8, 0.75, 0.77, 0.77, 0.8, 0.77, 0.82, 0.77, 0.75]",0.762,"[0.733, 0.767, 0.717, 0.717, 0.8, 0.75, 0.7, 0.8, 0.767, 0.717, 0.7, 0.717, 0.833, 0.7, 0.733, 0.817, 0.717, 0.733, 0.867, 0.717, 0.75, 0.8, 0.733, 0.8, 0.733, 0.783, 0.683, 0.717, 0.7, 0.717, 0.8, 0.767, 0.733, 0.683, 0.683, 0.8, 0.767, 0.767, 0.717, 0.733, 0.783, 0.65, 0.867, 0.733, 0.767, 0.783, 0.767, 0.817, 0.783, 0.783, 0.783, 0.833, 0.8, 0.85, 0.85, 0.8, 0.7, 0.817, 0.8, 0.7, 0.783, 0.85, 0.733, 0.833, 0.8, 0.7, 0.783, 0.75, 0.8, 0.8, 0.783, 0.833, 0.75, 0.717, 0.667, 0.65, 0.783, 0.8, 0.733, 0.733, 0.7, 0.85, 0.75, 0.717, 0.767, 0.883, 0.85, 0.717, 0.767, 0.717, 0.717, 0.783, 0.767, 0.75, 0.7, 0.817, 0.75, 0.683, 0.7, 0.8]",0.76
22,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 16}","[0.83, 0.77, 0.73, 0.73, 0.73, 0.78, 0.7, 0.75, 0.75, 0.72, 0.72, 0.8, 0.77, 0.78, 0.78, 0.78, 0.77, 0.8, 0.77, 0.77]",0.762,"[0.733, 0.783, 0.717, 0.683, 0.783, 0.767, 0.683, 0.817, 0.733, 0.717, 0.717, 0.717, 0.85, 0.7, 0.717, 0.817, 0.7, 0.717, 0.867, 0.717, 0.733, 0.817, 0.733, 0.767, 0.767, 0.783, 0.683, 0.783, 0.683, 0.733, 0.8, 0.783, 0.733, 0.7, 0.683, 0.8, 0.783, 0.767, 0.7, 0.733, 0.767, 0.683, 0.867, 0.733, 0.75, 0.767, 0.783, 0.833, 0.717, 0.783, 0.767, 0.783, 0.8, 0.833, 0.833, 0.817, 0.733, 0.8, 0.767, 0.7, 0.733, 0.85, 0.75, 0.867, 0.783, 0.733, 0.8, 0.75, 0.783, 0.8, 0.783, 0.833, 0.75, 0.717, 0.633, 0.667, 0.8, 0.8, 0.717, 0.683, 0.7, 0.85, 0.75, 0.733, 0.783, 0.85, 0.833, 0.733, 0.767, 0.717, 0.7, 0.767, 0.75, 0.733, 0.75, 0.817, 0.733, 0.667, 0.7, 0.8]",0.758
23,random_forest,"{'n_estimators': 215, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 16}","[0.83, 0.78, 0.73, 0.75, 0.75, 0.77, 0.73, 0.75, 0.75, 0.73, 0.72, 0.78, 0.75, 0.77, 0.77, 0.8, 0.77, 0.77, 0.78, 0.75]",0.762,"[0.75, 0.783, 0.7, 0.717, 0.783, 0.75, 0.7, 0.817, 0.75, 0.717, 0.7, 0.75, 0.833, 0.7, 0.75, 0.783, 0.717, 0.717, 0.85, 0.717, 0.767, 0.817, 0.717, 0.783, 0.75, 0.8, 0.667, 0.733, 0.683, 0.733, 0.767, 0.767, 0.7, 0.7, 0.683, 0.783, 0.783, 0.767, 0.733, 0.7, 0.783, 0.7, 0.85, 0.733, 0.75, 0.783, 0.783, 0.833, 0.783, 0.767, 0.783, 0.783, 0.783, 0.833, 0.833, 0.8, 0.7, 0.8, 0.8, 0.7, 0.75, 0.85, 0.717, 0.85, 0.817, 0.733, 0.8, 0.75, 0.783, 0.8, 0.817, 0.817, 0.75, 0.65, 0.667, 0.667, 0.8, 0.8, 0.7, 0.717, 0.7, 0.833, 0.75, 0.717, 0.75, 0.867, 0.867, 0.733, 0.767, 0.717, 0.683, 0.733, 0.733, 0.75, 0.733, 0.8, 0.767, 0.667, 0.683, 0.8]",0.757
24,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 17}","[0.83, 0.78, 0.73, 0.77, 0.72, 0.78, 0.73, 0.77, 0.72, 0.72, 0.68, 0.8, 0.75, 0.78, 0.75, 0.78, 0.77, 0.82, 0.78, 0.77]",0.761,"[0.75, 0.75, 0.733, 0.717, 0.783, 0.767, 0.683, 0.817, 0.683, 0.733, 0.7, 0.717, 0.833, 0.7, 0.733, 0.8, 0.733, 0.717, 0.867, 0.717, 0.75, 0.8, 0.717, 0.75, 0.75, 0.783, 0.683, 0.767, 0.667, 0.733, 0.783, 0.767, 0.733, 0.717, 0.667, 0.8, 0.783, 0.717, 0.667, 0.7, 0.767, 0.667, 0.85, 0.733, 0.717, 0.783, 0.767, 0.8, 0.733, 0.783, 0.767, 0.8, 0.783, 0.817, 0.833, 0.8, 0.717, 0.767, 0.783, 0.683, 0.75, 0.85, 0.7, 0.833, 0.817, 0.717, 0.8, 0.75, 0.767, 0.767, 0.817, 0.833, 0.767, 0.7, 0.633, 0.65, 0.8, 0.783, 0.733, 0.667, 0.733, 0.833, 0.733, 0.733, 0.783, 0.867, 0.85, 0.733, 0.767, 0.717, 0.717, 0.75, 0.733, 0.733, 0.7, 0.783, 0.7, 0.65, 0.733, 0.783]",0.752
25,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 20}","[0.83, 0.78, 0.73, 0.77, 0.72, 0.78, 0.72, 0.75, 0.72, 0.73, 0.73, 0.78, 0.77, 0.78, 0.75, 0.78, 0.77, 0.82, 0.77, 0.75]",0.761,"[0.733, 0.75, 0.717, 0.717, 0.783, 0.767, 0.683, 0.817, 0.75, 0.717, 0.717, 0.717, 0.817, 0.7, 0.717, 0.8, 0.717, 0.717, 0.883, 0.7, 0.75, 0.8, 0.717, 0.817, 0.733, 0.8, 0.65, 0.75, 0.667, 0.75, 0.833, 0.783, 0.733, 0.7, 0.667, 0.8, 0.783, 0.767, 0.7, 0.717, 0.8, 0.683, 0.867, 0.733, 0.767, 0.783, 0.783, 0.833, 0.783, 0.783, 0.783, 0.767, 0.8, 0.85, 0.833, 0.8, 0.7, 0.817, 0.783, 0.717, 0.767, 0.85, 0.733, 0.817, 0.8, 0.75, 0.8, 0.767, 0.783, 0.8, 0.8, 0.817, 0.767, 0.683, 0.667, 0.683, 0.783, 0.8, 0.733, 0.717, 0.7, 0.85, 0.75, 0.733, 0.767, 0.867, 0.85, 0.733, 0.783, 0.7, 0.717, 0.767, 0.733, 0.733, 0.733, 0.8, 0.733, 0.65, 0.7, 0.833]",0.759
26,random_forest,"{'n_estimators': 210, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 18}","[0.85, 0.78, 0.73, 0.73, 0.7, 0.78, 0.72, 0.77, 0.73, 0.72, 0.72, 0.83, 0.77, 0.77, 0.73, 0.8, 0.77, 0.8, 0.77, 0.75]",0.761,"[0.767, 0.75, 0.717, 0.7, 0.783, 0.767, 0.683, 0.783, 0.683, 0.7, 0.683, 0.75, 0.867, 0.7, 0.767, 0.817, 0.7, 0.683, 0.867, 0.717, 0.733, 0.8, 0.7, 0.767, 0.717, 0.783, 0.667, 0.75, 0.7, 0.733, 0.767, 0.783, 0.717, 0.733, 0.683, 0.783, 0.767, 0.733, 0.7, 0.733, 0.783, 0.683, 0.867, 0.733, 0.75, 0.75, 0.767, 0.8, 0.717, 0.767, 0.783, 0.783, 0.817, 0.817, 0.833, 0.8, 0.717, 0.817, 0.767, 0.7, 0.767, 0.85, 0.7, 0.85, 0.8, 0.733, 0.8, 0.75, 0.767, 0.8, 0.8, 0.833, 0.767, 0.683, 0.65, 0.667, 0.783, 0.8, 0.7, 0.7, 0.717, 0.833, 0.717, 0.717, 0.75, 0.883, 0.867, 0.733, 0.75, 0.717, 0.717, 0.75, 0.75, 0.733, 0.733, 0.8, 0.767, 0.683, 0.683, 0.783]",0.754
27,random_forest,"{'n_estimators': 205, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': None, 'max_leaf_nodes': 20}","[0.82, 0.8, 0.73, 0.77, 0.73, 0.77, 0.72, 0.73, 0.75, 0.73, 0.7, 0.8, 0.77, 0.77, 0.73, 0.8, 0.77, 0.8, 0.78, 0.75]",0.761,"[0.767, 0.767, 0.717, 0.7, 0.783, 0.767, 0.683, 0.817, 0.733, 0.7, 0.7, 0.717, 0.85, 0.7, 0.717, 0.8, 0.717, 0.75, 0.867, 0.717, 0.783, 0.8, 0.717, 0.817, 0.733, 0.783, 0.683, 0.767, 0.7, 0.75, 0.783, 0.767, 0.733, 0.7, 0.65, 0.8, 0.767, 0.75, 0.683, 0.733, 0.783, 0.683, 0.867, 0.733, 0.733, 0.783, 0.783, 0.833, 0.733, 0.783, 0.767, 0.767, 0.8, 0.833, 0.817, 0.8, 0.733, 0.783, 0.8, 0.717, 0.733, 0.85, 0.733, 0.833, 0.817, 0.733, 0.8, 0.75, 0.783, 0.8, 0.8, 0.817, 0.75, 0.7, 0.65, 0.667, 0.8, 0.8, 0.733, 0.7, 0.717, 0.85, 0.75, 0.733, 0.767, 0.867, 0.833, 0.733, 0.783, 0.7, 0.7, 0.767, 0.75, 0.733, 0.75, 0.833, 0.8, 0.667, 0.7, 0.8]",0.759
28,random_forest,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 16}","[0.82, 0.78, 0.73, 0.7, 0.7, 0.77, 0.72, 0.75, 0.72, 0.72, 0.72, 0.8, 0.75, 0.78, 0.78, 0.8, 0.77, 0.83, 0.8, 0.78]",0.761,"[0.733, 0.75, 0.733, 0.7, 0.8, 0.767, 0.683, 0.8, 0.733, 0.717, 0.683, 0.733, 0.867, 0.7, 0.7, 0.8, 0.733, 0.683, 0.883, 0.717, 0.733, 0.8, 0.733, 0.75, 0.733, 0.783, 0.65, 0.733, 0.683, 0.75, 0.817, 0.767, 0.733, 0.7, 0.7, 0.783, 0.783, 0.733, 0.667, 0.733, 0.767, 0.683, 0.867, 0.733, 0.783, 0.783, 0.75, 0.8, 0.75, 0.783, 0.8, 0.8, 0.8, 0.833, 0.85, 0.8, 0.683, 0.767, 0.817, 0.7, 0.75, 0.833, 0.717, 0.833, 0.8, 0.717, 0.817, 0.733, 0.783, 0.767, 0.783, 0.833, 0.767, 0.683, 0.65, 0.683, 0.8, 0.783, 0.733, 0.7, 0.7, 0.9, 0.75, 0.75, 0.767, 0.85, 0.85, 0.733, 0.767, 0.7, 0.667, 0.767, 0.767, 0.75, 0.717, 0.783, 0.717, 0.667, 0.733, 0.8]",0.755
